userId,movieId,rating,timestamp
10,2622,5,978228212
10,648,4,978224925
10,2628,3,978228408
10,3358,5,978226378
10,3359,3,978227125
10,1682,5,978226319
10,1756,4,978228655
10,1320,3,978230837
10,2124,3,978229208
10,2125,5,979167795
10,1250,3,978226572
10,2054,4,978229409
10,1252,3,979775409
10,1253,5,978226866
10,720,5,979775240
10,3868,3,978225997
10,1254,3,978226254
10,3869,3,978230562
10,1256,3,979168591
10,3500,5,978228153
10,1257,5,978227300
10,3501,5,978228911
10,2997,4,978226026
10,1259,3,979168564
10,653,4,978227051
10,1831,5,979776206
10,3363,5,978227696
10,586,3,978228747
10,587,5,978227028
10,3438,3,979168346
10,588,4,978225900
10,3439,2,978229894
10,589,4,978226128
10,1690,4,978230253
10,3296,4,978226103
10,223,2,978225900
10,150,5,978226319
10,2496,4,978227087
10,1,5,978226474
10,2497,4,978229979
10,2,5,979168267
10,2498,4,979776161
10,153,3,978229917
10,7,4,978227763
10,2133,4,978229171
10,2135,4,978224779
10,3948,4,978295480
10,2136,4,978230063
10,2137,4,978227842
10,1408,4,978227188
10,802,5,978226425
10,2138,3,978228848
10,1409,5,978229624
10,2067,3,979167600
10,1265,5,979167660
10,1339,5,979168036
10,1269,5,978226500
10,1196,5,979168108
10,590,5,978227646
10,1197,5,979167660
10,1198,5,978225630
10,2640,5,979168210
10,592,4,978227263
10,594,5,978226913
10,2716,4,978225952
10,595,5,980638533
10,2717,4,979775973
10,2571,5,979168108
10,596,4,978228174
10,3447,5,980638373
10,597,4,978224375
10,1918,3,978230230
10,2140,5,979168295
10,1411,4,978226287
10,2072,4,978230923
10,1270,4,978225735
10,1271,5,978226349
10,1345,3,978229295
10,2077,3,979775266
10,2078,4,978227646
10,1276,3,979168446
10,743,3,978224375
10,671,3,978228408
10,1278,5,978225922
10,745,5,979168564
10,3451,5,978226739
10,3525,2,978226500
10,1921,4,978227503
10,1923,5,978228288
10,1927,3,978225599
10,3386,4,978227379
10,2657,4,978224779
10,3388,3,978230736
10,1784,5,979168470
10,316,5,978227503
10,317,4,978228625
10,318,4,979775159
10,248,5,978229811
10,2080,4,978226866
10,2081,5,978228053
10,2082,3,978228754
10,1282,5,978224549
10,1356,5,978227871
10,1283,3,980638614
10,750,4,979775386
10,1357,5,978227625
10,2087,5,979775738
10,1286,5,979167906
10,1287,3,978227425
10,2804,5,978227003
10,3608,3,978228601
10,2662,4,978227529
10,3466,5,979168267
10,3100,3,978227105
10,2300,5,978225682
10,253,5,978228886
10,180,2,978226766
10,2599,5,979168618
10,2302,5,978227317
10,329,5,978229147
10,3034,4,980638330
10,3108,5,979168036
10,3035,3,978225997
10,186,3,978229938
10,2161,5,978228212
10,3037,5,978225682
10,2090,4,978228820
10,3039,4,978228053
10,2091,3,978230593
10,902,5,979167926
10,830,5,978229716
10,2093,4,978229624
10,1291,5,978225735
10,904,4,979775329
10,2094,4,978229097
10,1292,5,979775615
10,1293,4,978225682
10,2096,5,979775364
10,1294,4,978225952
